a,b,c,d,e,f,g
https://lobby-ethics.maryland.gov/#collapseRow0,https://lobby-ethics.maryland.gov//lobbyist_registrations/5fad35bb66c7d205aab436f7/activity_reports/5fae8b5abf04d605a2fe945c?redirect_back_to=%2Fpublic_access%3Ffilters%255Bar_date_end%255D%3D%26filters%255Bar_date_start%255D%3D%26filters%255Bar_lobbying_year%255D%3D%26filters%255Bc_date_end%255D%3D%26filters%255Bc_date_start%255D%3D%26filters%255Bc_lobbying_year%255D%3D%26filters%255Bdate_selection%255D%3DLobbying%2BYear%26filters%255Bemployer_name%255D%3D%26filters%255Blar_date_end%255D%3D%26filters%255Blar_date_start%255D%3D%26filters%255Blar_lobbying_year%255D%3D%26filters%255Blobbying_year%255D%3D%26filters%255Breport_type%255D%3DActivity%2BReports%26filters%255Breports_containing%255D%3D%26filters%255Bsearch_query%255D%3D,"Abbruzzese, Rick A",KO Public Affairs LLC,Share Our Strength,11/01/20-04/30/21
"Lobbyist Compensation:  $24,000.00
Witness Fees or Expenses: $0.00
Meal & Bev for Speaking: $0.00


Staff Expenses: $0.00
Other Operating Expenses: $0.00
Meal & Bev for Officials: $0.00


Office Expenses: $0.00
Sponsored Event Expenses: $0.00
Gift Expenses: $0.00


Research Expenses: $0.00
Tickets to Event Expenses: $0.00
Total: $24,000.00


Communications: $0.00
Meal & Bev at Meetings: $0.00","Lobbyist Compensation:  $24,000.00",Witness Fees or Expenses: $0.00,Meal & Bev for Speaking: $0.00,Staff Expenses: $0.00,Other Operating Expenses: $0.00,Meal & Bev for Officials: $0.00,Office Expenses: $0.00,Sponsored Event Expenses: $0.00,Gift Expenses: $0.00,Research Expenses: $0.00,Tickets to Event Expenses: $0.00,"Total: $24,000.00",Communications: $0.00,Meal & Bev at Meetings: $0.00,
"Lobbyist Compensation:  $24,000.00",Witness Fees or Expenses: $0.00,Meal & Bev for Speaking: $0.00
Staff Expenses: $0.00,Other Operating Expenses: $0.00,Meal & Bev for Officials: $0.00
Office Expenses: $0.00,Sponsored Event Expenses: $0.00,Gift Expenses: $0.00
Research Expenses: $0.00,Tickets to Event Expenses: $0.00,"Total: $24,000.00"
Communications: $0.00,Meal & Bev at Meetings: $0.00,
https://lobby-ethics.maryland.gov/#collapseRow1,https://lobby-ethics.maryland.gov//lobbyist_registrations/5fad344abf04d605a2fe9291/activity_reports/5fae8b69bf04d605a2fe945f?redirect_back_to=%2Fpublic_access%3Ffilters%255Bar_date_end%255D%3D%26filters%255Bar_date_start%255D%3D%26filters%255Bar_lobbying_year%255D%3D%26filters%255Bc_date_end%255D%3D%26filters%255Bc_date_start%255D%3D%26filters%255Bc_lobbying_year%255D%3D%26filters%255Bdate_selection%255D%3DLobbying%2BYear%26filters%255Bemployer_name%255D%3D%26filters%255Blar_date_end%255D%3D%26filters%255Blar_date_start%255D%3D%26filters%255Blar_lobbying_year%255D%3D%26filters%255Blobbying_year%255D%3D%26filters%255Breport_type%255D%3DActivity%2BReports%26filters%255Breports_containing%255D%3D%26filters%255Bsearch_query%255D%3D,"Abbruzzese, Rick A",KO Public Affairs LLC,Maryland Catholic Conference,11/01/20-04/30/21
"Lobbyist Compensation:  $36,000.00
Witness Fees or Expenses: $0.00
Meal & Bev for Speaking: $0.00


Staff Expenses: $0.00
Other Operating Expenses: $0.00
Meal & Bev for Officials: $0.00


Office Expenses: $0.00
Sponsored Event Expenses: $0.00
Gift Expenses: $0.00


Research Expenses: $0.00
Tickets to Event Expenses: $0.00
Total: $36,000.00


Communications: $0.00
Meal & Bev at Meetings: $0.00","Lobbyist Compensation:  $36,000.00",Witness Fees or Expenses: $0.00,Meal & Bev for Speaking: $0.00,Staff Expenses: $0.00,Other Operating Expenses: $0.00,Meal & Bev for Officials: $0.00,Office Expenses: $0.00,Sponsored Event Expenses: $0.00,Gift Expenses: $0.00,Research Expenses: $0.00,Tickets to Event Expenses: $0.00,"Total: $36,000.00",Communications: $0.00,Meal & Bev at Meetings: $0.00,
"Lobbyist Compensation:  $36,000.00",Witness Fees or Expenses: $0.00,Meal & Bev for Speaking: $0.00
Staff Expenses: $0.00,Other Operating Expenses: $0.00,Meal & Bev for Officials: $0.00
Office Expenses: $0.00,Sponsored Event Expenses: $0.00,Gift Expenses: $0.00
Research Expenses: $0.00,Tickets to Event Expenses: $0.00,"Total: $36,000.00"
Communications: $0.00,Meal & Bev at Meetings: $0.00,
